how many azure items does the other network have? 	you have twelve pink cashews, you have ten maroon carrots, you have eighteen azure persimmons 	eighteen 	azure
how many gold items does the other network have? 	you have ten gold haricots, you have nine magenta haricots, you have one olive strawberry 	ten 	gold
how many brown items does the other network have? 	you have sixteen brown kohlrabis, you have five tan chickpeas, you have nine khaki okras 	sixteen 	brown
how many crimson items does the other network have? 	you have two red raspberries, you have nineteen magenta broccoli, you have two crimson cucumbers, you have one lavender morel, you have two crimson persimmons, you have one red cauliflower 	two 	crimson
how many blue items does the other network have? 	you have two blue melons, you have twelve tan hazelnuts, you have two blue cherries, you have ten ruby lychees, you have nineteen brown carrots, you have three blue bananas, you have one blue cauliflower, you have four blue yams, you have twelve white cauliflowers 	four 	blue
how many silver items does the other network have? 	you have seventeen magenta guavas, you have ten silver okras, you have ten blue apricots, you have thirteen silver cashews, you have four silver sprouts, you have fourteen ruby kohlrabis, you have seven silver chickpeas, you have two silver cabbages, you have three silver carrots 	thirteen 	silver
how many coral items does the other network have? 	you have one coral sapote, you have seven tan tomatillos, you have seven green peaches 	one 	coral
how many magenta items does the other network have? 	you have sixteen magenta limes, you have eight teal soybeans, you have three magenta rutabagas, you have one magenta orange, you have four olive macadamia nuts, you have seventeen magenta clementines, you have eight magenta eggplants, you have two silver artichokes, you have six magenta turnips 	seventeen 	magenta
how many maroon items does the other network have? 	you have eight white jackfruits, you have fifteen maroon lentils, you have one lavender sweet potato 	fifteen 	maroon
how many khaki items does the other network have? 	you have fifteen brown chili peppers, you have eighteen brown kola nuts, you have four cyan eggplants, you have twelve khaki potatoes, you have thirteen khaki guavas, you have one khaki pecan 	thirteen 	khaki
how many orange items does the other network have? 	you have ten purple carrots, you have thirteen cyan dragon fruits, you have seventeen orange daikons 	seventeen 	orange
how many olive items does the other network have? 	you have one olive guava, you have nineteen violet pistachios, you have five white parsnips 	one 	olive
how many olive items does the other network have? 	you have four yellow macadamia nuts, you have seventeen olive sunflower seeds, you have five olive mushrooms, you have seven olive pomegranates, you have nine pink pomegranates, you have nine brown sunflower seeds, you have ten olive macadamia nuts, you have nineteen teal tomatillos, you have twelve olive peas 	seventeen 	olive
how many cyan items does the other network have? 	you have five indigo plantains, you have seven cyan black-eyed peas, you have thirteen cyan boysenberries, you have six cyan beets, you have one yellow hazelnut, you have fifteen yellow kola nuts 	thirteen 	cyan
how many cyan items does the other network have? 	you have four beige plums, you have ten ruby broccoli, you have one cyan cashew, you have three cyan sapotes, you have four cyan artichokes, you have eight cyan pomegranates, you have four cyan dragon fruits, you have two coral lychees, you have four cyan papayas 	eight 	cyan
how many indigo items does the other network have? 	you have fifteen crimson walnuts, you have fifteen black lemons, you have nine indigo pomegranates, you have eleven indigo almonds, you have twenty indigo figs, you have nine blue tomatillos 	twenty 	indigo
how many red items does the other network have? 	you have fifteen crimson carrots, you have eighteen tan artichokes, you have twelve red eggplants 	twelve 	red
how many blue items does the other network have? 	you have twelve blue kumquats, you have seven blue cauliflowers, you have eight violet potatoes, you have six blue jackfruits, you have nine lavender chickpeas, you have one blue cherimoya, you have thirteen blue brussels sprouts, you have eleven teal kiwis, you have three indigo zucchini 	thirteen 	blue
how many yellow items does the other network have? 	you have two yellow raspberries, you have three yellow bananas, you have two yellow nectarines, you have fourteen ruby kiwis, you have twenty white apples, you have nine yellow sweet potatoes, you have six yellow persimmons, you have five yellow potatoes, you have eighteen pink longans 	nine 	yellow
how many white items does the other network have? 	you have eight black brussels sprouts, you have fifteen white squashes, you have nineteen teal limes 	fifteen 	white
how many cyan items does the other network have? 	you have one cyan kaki, you have one white clementine, you have two indigo blueberries 	one 	cyan
how many grey items does the other network have? 	you have eighteen beige nectarines, you have six brown asparagus, you have seven grey cashews, you have two grey tangerines, you have fourteen lavender tangelos, you have nine grey potatoes 	nine 	grey
how many orange items does the other network have? 	you have two orange apricots, you have nine black peanuts, you have five blue pumpkins 	two 	orange
how many gold items does the other network have? 	you have seven lime walnuts, you have sixteen silver lingonberries, you have one orange tomatillo, you have two gold cherries, you have one gold longan, you have five gold papayas, you have three gold olives, you have five azure sweet potatoes, you have four gold raspberries 	five 	gold
how many grey items does the other network have? 	you have two lavender bananas, you have seventeen grey cabbages, you have fourteen crimson brussels sprouts 	seventeen 	grey
how many red items does the other network have? 	you have eight white parsnips, you have two red asparagus, you have sixteen red haricots, you have eighteen red apples, you have ten lavender radishes, you have sixteen red leeks, you have one red nectarine, you have one red pistachio, you have one teal chili pepper 	eighteen 	red
how many khaki items does the other network have? 	you have sixteen pink avocados, you have nineteen khaki cabbages, you have seven orange sunflower seeds, you have eight khaki kiwis, you have eleven khaki pumpkins, you have eleven black marulas 	nineteen 	khaki
how many lime items does the other network have? 	you have three black tangelos, you have thirteen lime pistachios, you have fourteen indigo parsnips 	thirteen 	lime
how many yellow items does the other network have? 	you have nineteen pink pomegranates, you have three lime guavas, you have two yellow apricots, you have one yellow haricot, you have one yellow squash, you have thirteen indigo brussels sprouts 	two 	yellow
how many azure items does the other network have? 	you have eighteen black brussels sprouts, you have one azure pistachio, you have three azure kakis, you have sixteen maroon kola nuts, you have seven blue daikons, you have one azure cabbage, you have one azure banana, you have three azure asparagus, you have seventeen blue olives 	three 	azure
how many orange items does the other network have? 	you have one yellow tomatillo, you have four orange chili peppers, you have one orange apple, you have fifteen crimson olives, you have one black chestnut, you have twelve coral chili peppers, you have fourteen cyan cherries, you have three orange carrots, you have four orange tangerines 	four 	orange
how many green items does the other network have? 	you have twelve green yams, you have eighteen tan black-eyed peas, you have eighteen olive kakis 	twelve 	green
how many yellow items does the other network have? 	you have four yellow pears, you have thirteen grey peanuts, you have thirteen magenta cherimoyas 	four 	yellow
how many yellow items does the other network have? 	you have fifteen pink cabbages, you have twenty yellow lemons, you have four olive beets 	twenty 	yellow
how many tan items does the other network have? 	you have fourteen black morels, you have seventeen magenta lingonberries, you have two tan lentils 	two 	tan
how many purple items does the other network have? 	you have twelve purple parsnips, you have seven maroon cashews, you have nine lavender peaches, you have nine ruby guavas, you have sixteen purple clementines, you have four purple jackfruits 	sixteen 	purple
how many grey items does the other network have? 	you have eleven grey apples, you have six grey quinces, you have five grey jackfruits, you have nineteen orange eggplants, you have nineteen crimson almonds, you have sixteen lavender chickpeas 	eleven 	grey
how many beige items does the other network have? 	you have one beige pea, you have eight beige jackfruits, you have two teal olives, you have eight beige brussels sprouts, you have ten orange tangerines, you have fourteen gold sprouts, you have seven beige tangerines, you have nine crimson strawberries, you have ten tan dragon fruits 	eight 	beige
how many lavender items does the other network have? 	you have ten khaki cherimoyas, you have thirteen lavender tangelos, you have thirteen lavender kohlrabis, you have eighteen purple avocados, you have four gold sunflower seeds, you have two lavender lemons, you have twenty pink chestnuts, you have eleven lavender cranberries, you have thirteen turquoise potatoes 	thirteen 	lavender
how many yellow items does the other network have? 	you have nine yellow sweet potatoes, you have twenty white apples, you have three yellow bananas, you have fourteen ruby kiwis, you have eighteen pink longans, you have six yellow persimmons 	nine 	yellow
how many white items does the other network have? 	you have ten red pineapples, you have four white radishes, you have thirteen violet cashews 	four 	white
how many magenta items does the other network have? 	you have two lime longans, you have eleven magenta peaches, you have nine olive walnuts, you have fourteen maroon strawberries, you have twenty magenta peas, you have nine magenta broccoli 	twenty 	magenta
how many blue items does the other network have? 	you have fifteen blue peppers, you have two tan peanuts, you have ten blue cranberries, you have nineteen beige cherimoyas, you have twelve khaki ackees, you have five blue kakis 	fifteen 	blue
how many purple items does the other network have? 	you have ten black yams, you have one purple almond, you have one purple black-eyed pea, you have two purple cashews, you have eighteen orange cherries, you have two purple daikons, you have four grey cucumbers, you have two purple tomatoes, you have four purple mushrooms 	four 	purple
how many maroon items does the other network have? 	you have six turquoise mushrooms, you have three gold nectarines, you have twenty maroon cranberries, you have three maroon tangelos, you have two brown mushrooms, you have seventeen maroon ackees 	twenty 	maroon
how many grey items does the other network have? 	you have two grey sprouts, you have sixteen silver papayas, you have fourteen grey clementines, you have sixteen grey okras, you have one grey lychee, you have one grey okra, you have five lime broccoli, you have ten azure sweet potatoes, you have fourteen grey plantains 	sixteen 	grey
how many beige items does the other network have? 	you have eleven teal strawberries, you have seven beige onions, you have four indigo longans 	seven 	beige
how many silver items does the other network have? 	you have ten tan olives, you have four ruby yams, you have five silver cucumbers, you have one magenta pineapple, you have six silver limes, you have one silver apricot, you have fourteen blue pomegranates, you have six silver longans, you have six beige pomegranates 	six 	silver
how many lime items does the other network have? 	you have three lime apples, you have nineteen crimson guavas, you have two lime ackees, you have seventeen indigo yams, you have one lime quince, you have twelve yellow carrots 	three 	lime
how many silver items does the other network have? 	you have sixteen silver tangerines, you have two lime persimmons, you have thirteen beige black-eyed peas 	sixteen 	silver
how many coral items does the other network have? 	you have three crimson potatoes, you have five coral avocados, you have two khaki shallots, you have fifteen coral parsnips, you have five coral currants, you have nine violet kakis, you have nine coral jackfruits, you have ten coral peanuts, you have one coral papaya 	fifteen 	coral
how many lavender items does the other network have? 	you have thirteen white pistachios, you have nineteen yellow cabbages, you have seven lavender cherries 	seven 	lavender
how many green items does the other network have? 	you have eighteen green chestnuts, you have ten green blueberries, you have twenty gold olives, you have eight teal strawberries, you have eight green haricots, you have seventeen violet kumquats 	eighteen 	green
how many magenta items does the other network have? 	you have eleven crimson strawberries, you have ten cyan eggplants, you have three magenta dates, you have eleven silver artichokes, you have one magenta morel, you have four magenta daikons 	four 	magenta
how many cyan items does the other network have? 	you have four cyan currants, you have ten cyan black-eyed peas, you have three cyan cherries, you have two cyan beets, you have eight grey olives, you have seventeen cyan peppers, you have fifteen cyan blueberries, you have eighteen grey squashes, you have fourteen crimson strawberries 	seventeen 	cyan
how many white items does the other network have? 	you have two white persimmons, you have twelve white peaches, you have eighteen maroon almonds, you have five brown plums, you have fourteen white avocados, you have eighteen brown marulas 	fourteen 	white
how many silver items does the other network have? 	you have twenty orange melons, you have four gold persimmons, you have fifteen silver longans 	fifteen 	silver
how many red items does the other network have? 	you have eight red peanuts, you have eight maroon passion fruits, you have fourteen brown mangos, you have five red plantains, you have eight indigo hazelnuts, you have three red brazil nuts 	eight 	red
how many coral items does the other network have? 	you have eighteen tan clementines, you have fourteen tan daikons, you have one coral rutabaga, you have five coral peanuts, you have sixteen white avocados, you have six coral olives 	six 	coral
how many white items does the other network have? 	you have two teal kakis, you have twelve white watermelons, you have one white pomegranate, you have nine orange kiwis, you have eleven white raspberries, you have seventeen grey figs 	twelve 	white
how many crimson items does the other network have? 	you have two crimson mushrooms, you have fourteen grey guavas, you have ten crimson cauliflowers, you have fifteen violet peas, you have one crimson okra, you have three crimson turnips, you have seven crimson strawberries, you have seven pink zucchini, you have seven crimson kohlrabis 	ten 	crimson
how many orange items does the other network have? 	you have seventeen red jackfruits, you have one orange potato, you have one orange broccoli, you have one orange cashew, you have nine silver boysenberries, you have six orange cherries, you have ten purple chestnuts, you have five orange guavas, you have four orange plums 	six 	orange
how many khaki items does the other network have? 	you have sixteen violet lemons, you have eight blue kohlrabis, you have ten khaki tangerines 	ten 	khaki
how many red items does the other network have? 	you have one red black-eyed pea, you have twenty lime daikons, you have fifteen green sunflower seeds, you have two red lingonberries, you have four lavender pumpkins, you have one red potato 	two 	red
how many gold items does the other network have? 	you have eleven blue jackfruits, you have twelve white pears, you have twelve gold longans 	twelve 	gold
how many khaki items does the other network have? 	you have eight ruby sprouts, you have six khaki avocados, you have three khaki pecans, you have seven khaki asparagus, you have two khaki chestnuts, you have fifteen red pineapples, you have eight brown jackfruits, you have twelve khaki persimmons, you have six khaki limes 	twelve 	khaki
how many yellow items does the other network have? 	you have seventeen yellow black-eyed peas, you have seven cyan ackees, you have thirteen brown rutabagas 	seventeen 	yellow
how many turquoise items does the other network have? 	you have two turquoise jackfruits, you have fourteen pink chili peppers, you have two cyan pears, you have seventeen turquoise apples, you have twelve silver blueberries, you have fifteen turquoise cucumbers 	seventeen 	turquoise
how many blue items does the other network have? 	you have one blue clementine, you have nine blue chestnuts, you have five black cauliflowers, you have nineteen maroon nectarines, you have seven blue onions, you have sixteen black peaches, you have seven blue beets, you have fourteen blue kola nuts, you have four blue quinces 	fourteen 	blue
how many magenta items does the other network have? 	you have ten magenta morels, you have six magenta pomegranates, you have sixteen magenta daikons, you have four beige lemons, you have four magenta brussels sprouts, you have twelve magenta asparagus, you have nineteen teal onions, you have sixteen brown nectarines, you have thirteen khaki macadamia nuts 	sixteen 	magenta
how many maroon items does the other network have? 	you have seven maroon longans, you have nine lime turnips, you have six yellow asparagus 	seven 	maroon
how many ruby items does the other network have? 	you have fourteen silver grapefruits, you have four purple plums, you have three green squashes, you have one ruby rutabaga, you have sixteen lime tomatillos, you have one ruby passion fruit 	one 	ruby
how many lavender items does the other network have? 	you have twenty white cherries, you have nineteen lime sweet potatoes, you have eight ruby hazelnuts, you have ten yellow kakis, you have seventeen lavender marulas, you have seventeen lavender plums 	seventeen 	lavender
how many white items does the other network have? 	you have three white chickpeas, you have one white lingonberry, you have eighteen azure cherries, you have one white tomatillo, you have four white quinces, you have thirteen grey artichokes, you have nine gold watermelons, you have six white soybeans, you have three white apricots 	six 	white
how many blue items does the other network have? 	you have ten olive kumquats, you have ten cyan morels, you have eight blue lemons, you have eleven magenta plums, you have eight blue onions, you have seventeen brown kohlrabis 	eight 	blue
how many turquoise items does the other network have? 	you have sixteen white tangelos, you have nineteen brown olives, you have four turquoise plums 	four 	turquoise
how many coral items does the other network have? 	you have eighteen coral apples, you have one coral pineapple, you have twelve khaki boysenberries, you have fourteen olive kakis, you have four silver figs, you have nineteen coral kumquats 	nineteen 	coral
how many indigo items does the other network have? 	you have eighteen red marulas, you have sixteen olive pomegranates, you have eighteen red beets, you have eighteen indigo asparagus, you have three indigo guavas, you have fifteen indigo plums 	eighteen 	indigo
how many coral items does the other network have? 	you have fifteen green quinces, you have five teal beets, you have fourteen coral bananas 	fourteen 	coral
how many yellow items does the other network have? 	you have four yellow broccoli, you have eight yellow limes, you have twelve cyan radishes, you have four yellow blueberries, you have fourteen azure walnuts, you have fifteen lime pineapples 	eight 	yellow
how many black items does the other network have? 	you have fourteen tan parsnips, you have six black zucchini, you have three black clementines, you have eleven red jackfruits, you have eight cyan oranges, you have three black cabbages 	six 	black
how many purple items does the other network have? 	you have twenty purple squashes, you have seventeen olive eggplants, you have eleven olive grapefruits 	twenty 	purple
how many gold items does the other network have? 	you have seven cyan ackees, you have thirteen azure cabbages, you have fourteen gold papayas, you have twelve gold tomatillos, you have two gold peaches, you have six lime soybeans 	fourteen 	gold
how many maroon items does the other network have? 	you have two ruby blueberries, you have twelve tan pecans, you have fourteen crimson onions, you have five maroon onions, you have two maroon rutabagas, you have nine maroon tangelos, you have fourteen maroon cherries, you have eleven maroon pomegranates, you have one maroon almond 	fourteen 	maroon
how many silver items does the other network have? 	you have fourteen violet okras, you have one silver tomato, you have nineteen khaki blueberries, you have one green pea, you have one silver parsnip, you have four crimson chickpeas, you have one silver yam, you have twelve indigo peppers, you have eleven grey brussels sprouts 	one 	silver
how many lime items does the other network have? 	you have nineteen red pumpkins, you have six turquoise hazelnuts, you have two lime sunflower seeds, you have two crimson sweet potatoes, you have seven blue daikons, you have two lime kola nuts 	two 	lime
how many pink items does the other network have? 	you have nine beige papayas, you have seven magenta rutabagas, you have three pink morels, you have eleven pink hazelnuts, you have eight pink turnips, you have eighteen teal pomegranates 	eleven 	pink
how many green items does the other network have? 	you have fifteen ruby almonds, you have five green apples, you have six green quinces, you have nineteen khaki turnips, you have seventeen lavender dragon fruits, you have two green tangelos, you have seven green morels, you have one green apple, you have two magenta morels 	seven 	green
how many brown items does the other network have? 	you have thirteen indigo beets, you have two brown tangerines, you have six brown oranges, you have thirteen pink apples, you have four brown cucumbers, you have eight teal mushrooms 	six 	brown
how many crimson items does the other network have? 	you have one grey potato, you have seven crimson longans, you have seventeen crimson pineapples, you have eighteen red pomegranates, you have ten pink marulas, you have ten crimson kohlrabis 	seventeen 	crimson
how many coral items does the other network have? 	you have four green watermelons, you have one coral sapote, you have nineteen crimson blueberries, you have one coral tomato, you have fifteen beige chickpeas, you have seven tan tomatillos, you have seven green peaches, you have one coral lentil, you have eleven turquoise cashews 	one 	coral
how many black items does the other network have? 	you have fifteen orange blackberries, you have eight pink squashes, you have eighteen black cashews 	eighteen 	black
how many lavender items does the other network have? 	you have three olive soybeans, you have twelve lavender blueberries, you have five coral guavas 	twelve 	lavender
